living_area,year_built,beds,full_bath,half_bath,property_type,list_price,list_price_per_sq_ft,sold_price,sold_price_per_sq_ft,living_area_above_ground,price_per_sq_ft,zip_code,list_date,closing_date
1650,1996,4,2,1,Detached,399900.00,242.36,420000.00,254.55,1650,254.55,27519,11/1/2021,2/22/2022
1653,1995,3,2,1,Detached,419900.00,254.02,435000.00,263.16,1653,263.16,27519,11/18/2021,1/3/2022
1500,2003,3,2,0,Detached,429900.00,286.60,451000.00,300.67,1500,300.67,27519,3/4/2022,4/8/2022
1622,1994,3,2,1,Detached,389900.00,240.38,468000.00,288.53,1622,288.53,27519,3/27/2022,4/11/2022
1338,1997,3,2,1,Detached,390000.00,291.48,505000.00,377.43,1338,377.43,27519,3/3/2022,4/5/2022
1870,2005,2,2,0,Detached,485000.00,259.36,525000.00,280.75,1870,280.75,27519,4/13/2022,5/5/2022
1872,2002,3,2,0,Detached,498500.00,266.29,530000.00,283.12,1872,283.12,27519,2/23/2022,4/6/2022
2192,2006,4,2,1,Detached,498000.00,227.19,533000.00,243.16,2192,243.16,27519,1/1/2022,2/11/2022
2663,2004,3,2,0,Detached,540000.00,202.78,540000.00,202.78,2663,202.78,27519,11/6/2021,1/13/2022
2915,2008,3,3,0,Detached,555000.00,190.39,540000.00,185.25,2915,185.25,27519,12/30/2021,2/15/2022
1918,1999,4,2,1,Detached,485000.00,252.87,541000.00,282.06,1918,282.06,27519,3/16/2022,4/20/2022
1941,1995,4,2,1,Detached,450000.00,231.84,541800.00,279.13,1941,279.13,27519,2/4/2022,3/8/2022
2097,1999,3,2,1,Detached,556000.00,265.14,545000.00,259.90,2097,259.90,27519,12/8/2021,2/18/2022
2072,2004,3,3,0,Detached,480000.00,231.66,545000.00,263.03,2072,263.03,27519,4/20/2022,5/10/2022
1707,1994,3,2,1,Detached,400000.00,234.33,550000.00,322.20,1707,322.20,27519,2/10/2022,3/18/2022
2300,1996,3,2,1,Detached,500000.00,217.39,556000.00,241.74,2300,241.74,27519,12/29/2021,1/14/2022
3997,1973,3,4,0,Detached,525000.00,131.35,565000.00,141.36,3997,141.36,27519,3/11/2022,4/21/2022
2400,2001,4,2,1,Detached,528000.00,220.00,580000.00,241.67,2400,241.67,27519,1/19/2022,2/14/2022
2209,1998,4,2,1,Detached,571000.00,258.49,586109.00,265.33,2209,265.33,27519,3/1/2022,4/6/2022
2534,2022,4,3,0,Detached,587773.00,231.95,587773.00,231.95,2534,231.95,27519,1/31/2022,2/25/2022
