living_area,year_built,beds,full_bath,half_bath,property_type,list_price,list_price_per_sq_ft,sold_price,sold_price_per_sq_ft,living_area_above_ground,price_per_sq_ft,list_date,closing_date
"1,741",2004,3,2,1,Attached,"$1,250.00",$0.72,"$1,250.00",$0.72,"1,741",$0.72,4/17/2006,7/1/2006
"1,278",1912,2,1,0,Detached,"$99,000.00",$77.46,"$62,000.00",$48.51,"1,278",$48.51,5/2/2007,9/13/2007
935,1940,2,1,0,Detached,"$79,990.00",$85.55,"$65,000.00",$69.52,935,$69.52,3/15/2013,5/13/2013
"1,213",1948,3,1,0,Detached,"$85,000.00",$70.07,"$75,000.00",$61.83,"1,213",$61.83,9/8/2003,2/6/2004
511,1965,1,1,0,Condo,"$80,000.00",$156.56,"$77,000.00",$150.69,511,$150.68,2/14/2008,3/25/2008
"1,425",1997,3,2,0,Manufactured,"$94,900.00",$66.60,"$82,500.00",$57.90,"1,425",$57.89,5/16/2012,7/9/2012
"1,176",1948,3,1,0,Detached,"$84,000.00",$71.43,"$84,000.00",$71.43,"1,176",$71.43,11/11/2005,1/25/2006
806,2005,1,1,1,Condo,"$89,500.00",$111.04,"$86,000.00",$106.70,806,$106.70,9/21/2011,4/27/2012
900,1955,2,1,0,Detached,"$89,000.00",$98.89,"$89,000.00",$98.89,900,$98.89,12/2/1998,2/26/1999
800,2004,1,1,1,Condo,"$89,900.00",$112.38,"$89,900.00",$112.38,800,$112.38,3/16/2004,12/20/2004
"1,320",1979,2,1,2,Attached,"$89,000.00",$67.42,"$90,500.00",$68.56,"1,320",$68.56,12/2/2009,2/25/2010
800,2004,1,1,1,Condo,"$89,900.00",$112.38,"$90,550.00",$113.19,800,$113.19,5/21/2004,3/18/2005
800,2004,1,1,1,Condo,"$89,900.00",$112.38,"$92,375.00",$115.47,800,$115.47,3/15/2004,1/26/2005
800,2004,1,1,1,Condo,"$92,900.00",$116.13,"$92,900.00",$116.13,800,$116.13,3/15/2004,5/27/2005
800,2004,1,1,1,Condo,"$92,900.00",$116.13,"$92,900.00",$116.13,800,$116.13,3/17/2004,4/29/2005
